,United States - English,United States - Español,España - Español,Canada - French,France - Francais,United Kingdom - English,Australia - English,Canada - English
chronotype_body_wake,I normally wake up at (this is NOT when you get out of bed):,"Normalmente me despierto a las (NO cuando se levanta de la cama):
",Normalmente me despierto a las (esta NO es la hora a la que selevanta):,Je me réveille normalement à (ce N’EST PAS l’heure à laquelle vous vous levez) :,Je me réveille normalement à (il ne s’agit PAS de l’heure à laquelle vous vous levez) :,I normally wake up at (this is NOT when you get out of bed):,I normally wake up at (this is NOT when you get out of bed):,I normally wake up at (this is NOT when you get out of bed):
choose_time,Choose Time,Elija una hora,Seleccionar hora,Choisir l’heure,Choisir l’heure,Choose Time,Choose Time,Choose Time
choose_answer,Choose Answer,Elija la respuesta,Seleccionar respuesta,Choisir une réponse,Choisir une réponse,Choose Answer,Choose Answer,Choose Answer
chronotype_edit,Edit,Editar,Modificar,Éditer,Modifier,edit,edit,edit
chronotype_header,CHRONOTYPE,CRONOTIPO,CRONOTIPO,CHRONOTYPE,CHRONOTYPE,CHRONOTYPE,CHRONOTYPE,CHRONOTYPE
chronotype_subheader_work,On workdays...,"En los días laborables…
",Durante los días laborables...,"Pendant les journées de travail...
",Les jours de travail...,On workdays...,On workdays...,On workdays...
chronotype_subheader_workfree,On work-free days when I don't use an alarm clock...,"En los días no laborables cuando no uso la alarma…
",Durante los díasen los que no trabajo cuando no pongo el despertador...,"Lors des jours sans travail lorsque je n’utilise pas de réveil...
","Les jours non travaillés, quand je n’utilise pas de réveil...",On work-free days when I don't use an alarm clock...,On work-free days when I don't use an alarm clock...,On work-free days when I don't use an alarm clock...
confirm,CONFIRM,CONFIRMAR,CONFIRMAR,CONFIRMER,CONFIRM,CONFIRM,CONFIRM,CONFIRM
context_active,ACTIVE/ALERT,ACTIVO/ALERTA,ACTIVO/ALERTA,ACTIF/ALERTE,ACTIF/ALERTE,ACTIVE/ALERT,ACTIVE/ALERT,ACTIVE/ALERT
context_bad,BAD,MALO,MALO,MAUVAISE,MAUVAISE,BAD,BAD,BAD
context_good,GOOD,BUENO,BUENO,BONNE,BONNE,GOOD,GOOD,GOOD
context_header,CONTEXT SURVEY,ENCUESTA DEL CONTEXTO,ENCUESTA DE CONTEXTO,HISTORIQUE,ÉTUDE DE CONTEXTE,CONTEXT SURVEY,CONTEXT SURVEY,CONTEXT SURVEY
context_q1,Who is with you right now?,¿Quién está con usted en este momento?,¿Quién está ahora mismo con usted?,Qui est avec vous en ce moment ?,Qui est avec vous en ce moment?,Who is with you right now?,Who is with you right now?,Who is with you right now?
context_q1_answers1,Nobody,Nadie,Nadie,Personne,Personne,Nobody,Nobody,Nobody
context_q1_answers2,Partner/spouse,Pareja/cónyuge,Pareja/cónyuge,Partenaire/conjoint,Partenaire/conjoint,Partner/spouse,Partner/spouse,Partner/spouse
context_q1_answers3,Family,Familia,Familiar,Famille,Famille,Family,Family,Family
context_q1_answers4,Friends,Amigos,Amigos,Ami(e)s,Amis,Friends,Friends,Friends
context_q1_answers5,Co-workers,Colegas,Compañeros de trabajo,Collègues de travail,Collègues,Co-workers,Co-workers,Co-workers
context_q1_answers6,Pet,Mascota,Mascota,Animal domestique,Animal de compagnie,Pet,Pet,Pet
context_q1_answers7,Other,Otros,Otros,Autre,Autre,Other,Other,Other
context_q2,Where are you right now?,¿Dónde está en este momento?,¿Dónde está usted ahora mismo?,Où êtes-vous en ce moment ?,Où êtes-vous en ce moment?,Where are you right now?,Where are you right now?,Where are you right now?
context_q2_answers1,My Home,Mi casa,En casa,Ma maison,Chez moi,My Home,My Home,My Home
context_q2_answers2,My Work,Mi trabajo,En el trabajo,Mon travail,Au travail,My Work,My Work,My Work
context_q2_answers3,School,Escuela,En el colegio,École,À l’école,School,School,School
context_q2_answers4,Other Person's Home,La casa de otra persona,En la casa de otra persona,Maison d’une autre personne,Chez quelqu’un d’autre,Other Person's Home,Other Person's Home,Other Person's Home
context_q2_answers5,Vehicle,Vehículo,En el vehículo,Véhicule,En voiture/dans les transports,Vehicle,Vehicle,Vehicle
context_q2_answers6,Outside,Fuera,En la calle,Dehors,Dehors,Outside,Outside,Outside
context_q2_answers7,Other,Otros,En otro lugar,Autre,Autre,Other,Other,Other
context_q3,Which of these best describes your overall mood right now?,¿Cuál de estas opciones describe mejor su estado de ánimo en general en este momento?,¿Cuál de estas respuestas describe mejor su estado de ánimo general ahora mismo?,"Quel terme ci-dessous décrit le mieux votre humeur générale en ce moment ?
",Quel mot décrit le mieux votre humeur générale en ce moment?,Which of these best describes your overall mood right now?,Which of these best describes your overall mood right now?,Which of these best describes your overall mood right now?
context_q4,Which of these best describes how you feel right now?,¿Cuál de estas opciones describe mejor cómo se siente en este momento?,¿Cuál de estas respuestas describe mejor cómo se siente ahora mismo?,Lesquels des termes ci-dessous décrivent le mieux comment vous vous sentez en ce moment ?,Quels mots décrivent le mieux votre la manière dont vous vous sentez en ce moment?,Which of these best describes how you feel right now?,Which of these best describes how you feel right now?,Which of these best describes how you feel right now?
context_q5,In the past 5 minutes...what were you MOSTLY doing?,En los últimos 5 minutos … ¿Qué actividad realizó por MÁS tiempo?,En los últimos 5 minutos... ¿Cuál era su PRINCIPAL actividad?,Au cours des 5 dernières minutes... qu’avez-vous fait PRINCIPALEMENT ?,Qu’avez-vous fait PRINCIPALEMENT ces 5 dernières minutes?,In the past 5 minutes...what were you MOSTLY doing?,In the past 5 minutes...what were you MOSTLY doing?,In the past 5 minutes...what were you MOSTLY doing?
context_q5_answers1,Sitting at a Desk,Sentarse ante un escritorio ,Sentado en el escritorio,"Assis à un bureau 
",Être assis à un bureau,Sitting at a Desk,Sitting at a Desk,Sitting at a Desk
context_q5_answers2,Watching Television,Mirar televisión,Viendo la televisión,Regarder la télévision,Regarder la télévision,Watching Television,Watching Television,Watching Television
context_q5_answers3,Eating,Comer,Comiendo,Manger,Manger,Eating,Eating,Eating
context_q5_answers4,Exercising,Ejercitarse,Haciendo ejercicio,Faire de l’exercice,Faire de l’exercice,Exercising,Exercising,Exercising
context_q5_answers5,"Household Chores (cooking, cleaning)","Tareas del hogar (cocinar, limpiar)",Haciendo tareas domésticas,"Activités domestiques (cuisiner, nettoyer)","Tâches ménagères (cuisine, ménage)","Household Chores (cooking, cleaning)","Household Chores (cooking, cleaning)","Household Chores (cooking, cleaning)"
context_q5_answers6,Driving,Manejar,Conduciendo,Conduire,Conduire,Driving,Driving,Driving
context_q5_answers7,Socializing,Socializar,Socializando,Socialiser,Rencontrer des amis,Socialising ,Socialising ,Socializing
context_q5_answers8,Personal Care,Cuidado personal ,Cuidado Personal,Soins personnels,Soins personnels,Personal Care,Personal Care,Personal Care
context_q5_answers9,Resting,Descansar,Descansando,Se reposer ,Se reposer,Resting,Resting,Resting
context_q5_answers10,Other,Otro,Haciendo otra cosa,Autre,Autre,Other,Other,Other
context_tired,SLEEPY/TIRED,SOMNOLIENTO/CANSADO,SOMNOLIENTO/CANSADO,SOMNOLENT/FATIGUÉ,ENDORMI/FATIGUÉ,SLEEPY/TIRED,SLEEPY/TIRED,SLEEPY/TIRED
done,Done,COMPLETADO,Hecho,Terminé,Terminé,Done,Done,Done
grid_body1,"In this test, you will see a 5 x 5 grid. 

There will be three items placed in that grid. Try to remember where the items are located.","En este test, observará una cuadrícula de 5 x 5.

Habrá tres artículos en esa cuadrícula. Intente recordar dónde estaban ubicados los artículos.","En esta prueba, verá una cuadrícula de 5 x 5. 

En esa cuadrícula aparecerán tres artículos. Intente recordar dónde estaban.","Dans ce test, vous verrez une grille de 5 x 5.

Il y aura trois articles placés dans cette grille. Essayez de vous souvenir où sont situés les articles.","Lors de ce test, une grille de 5 lignes et 5 colonnes va s’afficher.

Trois articles seront placés dans cette grille. Essayez de vous souvenir de l’emplacement des articles.","In this test, you will see a 5 x 5 grid. There will be three items placed in that grid. Try to remember where the items are located.","In this test, you will see a 5 x 5 grid. There will be three items placed in that grid. Try to remember where the items are located.","In this test, you will see a 5 x 5 grid. There will be three items placed in that grid. Try to remember where the items are located."
grid_body2,You will then do a different task where you will touch all the letter 'F's that you find as quickly as you can.,Luego hará una tarea diferente en la cual tocará todas las letras ‘F’ que encuentre tan rápido como pueda.,"Posteriormente se presentará una prueba diferente en la que deberá tocar, lo más rápido que pueda, todas las letras «F» que encuentre.",Vous réaliserez ensuite une tâche différente où vous allez toucher le plus rapidement possible toutes les lettres « F » que vous trouverez.,"Vous allez ensuite passer un autre test : vous devrez toucher aussi vite que possible toutes les lettres « F » que vous trouverez.
",You will then do a different task where you will touch all the letter 'F's that you find as quickly as you can.,You will then do a different task where you will touch all the letter 'F's that you find as quickly as you can.,You will then do a different task where you will touch all the letter 'F's that you find as quickly as you can.
grid_body3,"Then, you'll be shown a blank grid. Tap the boxes where that items were located previously. 

Press Start to begin.","Luego, le mostrarán una cuadrícula en blanco. Presione las casillas donde los artículos se encontraban previamente ubicados.","A continuación, se le mostrará una cuadrícula en blanco. Toque los cuadrados en los que estaban colocados los artículos anteriormente.

Pulse «Comenzar» para empezar.","Ensuite, nous vous montrerons une grille vierge. Appuyez sur les cases où les articles étaient situés précédemment.

Appuyez sur Début pour commencer","On va ensuite vous montrer une grille vide. Appuyez sur les cases où se trouvaient les articles.
Appuyez sur Démarrer pour commencer.","Then, you'll be shown a blank grid. Tap the boxes where that items were located previously. Press Start to begin.","Then, you'll be shown a blank grid. Tap the boxes where that items were located previously. Press Start to begin.","Then, you'll be shown a blank grid. Tap the boxes where that items were located previously. Press Start to begin."
grid_transition,Try to remember the location of the items!,¡Intente recordar la ubicación de los elementos!,¡Intente recordar la ubicación de los elementos!,Essayez de vous souvenir de l’emplacement des articles!,Essayez de vous souvenir de l’emplacement des éléments !,Try to remember the location of the items!,Try to remember the location of the items!,Try to remember the location of the items!
grid_example_test,EXAMPLE GRID EXCERPT,EXTRACTO DE EJEMPLO DE CUADRÍCULA ,EXTRACTO DE EJEMPLO DE CUADRÍCULA,EXEMPLE DE GRILLE,EXEMPLE DE PORTION DE GRILLE,EXAMPLE GRID EXCERPT,EXAMPLE GRID EXCERPT,EXAMPLE GRID EXCERPT
grid_example_letters,EXAMPLE TASK EXCERPT,EXTRACTO DE EJEMPLO DE TAREA,EXTRACTO DE EJEMPLO DE TAREA,EXEMPLE D’EXTRAIT DE LA TÂCHE,EXEMPLE D’EXERCICE,EXAMPLE TASK EXCERPT,EXAMPLE TASK EXCERPT,EXAMPLE TASK EXCERPT
grid_subheader,Grids Instructions,Instrucciones para cuadrículas,Instrucciones de la cuadrícula,Instructions pour les grilles,Instructions relatives aux grilles,Grids Instructions,Grids Instructions,Grids Instructions
grid_tap,Tap On the F's,Escoja las F,Toque las letras «F»,Appuyez sur les F,Appuyer sur les F,Tap On the Fs,Tap On the Fs,Tap On the Fs
idverification_body,Please sign your initials on the line below to verify your identity.,Firme con sus iniciales en la línea a continuación para verificar su identidad.,Escriba sus iniciales en la siguiente raya.,Veuillez apposer vos initiales sur la ligne ci-dessous.,Veuillez apposer vos initiales sur la ligne ci-dessous.,Please sign your initials on the line below to verify your identity.,Please sign your initials on the line below to verify your identity.,Please sign your initials on the line below to verify your identity.
idverification_body2,"By signing my initials on the line below, I attest that I completed these tests.","Al escribir mis iniciales en la siguiente raya, doy fe de que completé estas pruebas.","Al escribir mis iniciales en la siguiente raya, doy fe de que completé estas pruebas.","En apposant mes initiales sur la ligne ci-dessous, je certifie que j’ai terminé ces tests.","En apposant mes initiales sur la ligne ci-dessous, j’atteste avoir effectué ces tests.","By signing my initials on the line below, I attest that I completed these tests.","By signing my initials on the line below, I attest that I completed these tests.","By signing my initials on the line below, I attest that I completed these tests."
idverification_header,ID VERIFICATION,VERIFICACIÓN DE IDENTIFICACIÓN,VERIFICACIÓN DE ID,VÉRIFICATION DU NUMÉRO D’IDENTITÉ,VÉRIFICATION DE L’IDENTITÉ,ID VERIFICATION,ID VERIFICATION,ID VERIFICATION
interrupted_body,Were you interrupted or did you have to stop while taking any of these tests?,¿Le interrumpieron o tuvo que detenerse mientras estaba completando estos tests?,¿Se le interrumpió o tuvo que parar mientras realizaba alguna de estas pruebas?,Avez-vous été interrompu ou avez-vous dû arrêter lorsque vous effectuiez l’un de ces tests ?,Avez-vous été interrompu ou avez-vous dû vous arrêter pendant un de ces tests ?,Were you interrupted or did you have to stop while taking any of these tests?,Were you interrupted or did you have to stop while taking any of these tests?,Were you interrupted or did you have to stop while taking any of these tests?
interrupted_header,FINAL QUESTIONS,PREGUNTAS FINALES,PREGUNTAS FINALES,QUESTIONS FINALES,DERNIÈRES QUESTIONS,FINAL QUESTIONS,FINAL QUESTIONS,FINAL QUESTIONS
list_selectall,Select all that apply:,Seleccione todos los que correspondan:,Seleccione todas las opciones que correspondan:,Sélectionnez tout ce qui s’applique :,Sélectionnez toutes les réponses pertinentes :,Select all that apply:,Select all that apply:,Select all that apply:
list_selectone,Select one:,Escoja una:,Seleccione una respuesta:,Sélectionner un :,Sélectionnez une réponse :,Select one:,Select one:,Select one:
money_prefix,$,$,"""""","""""","""""","""""","""""",$
money_suffix,"""""","""""",€,$,€,£,$,""""""
month_january,January,Enero,Enero,Janvier,Janvier,January,January,January
month_febuary,February,Febrero,Febrero,Février,Février,February,February,February
month_march,March,Marzo,Marzo,Mars,Mars,March,March,March
month_april,April,Abril,Abril,Avril,Avril,April,April,April
month_may,May,Mayo,Mayo,Mai,Mai,May,May,May
month_june,June,Junio,Junio,Juin,Juin,June,June,June
month_july,July,Julio,Julio,Juillet,Juillet,July,July,July
month_august,August,Agosto,Agosto,Août,Août,August,August,August
month_september,September,Septiembre,Septiembre,Septembre,Septembre,September,September,September
month_october,October,Octubre,Octubre,Octobre,Octobre,October,October,October
month_november,November,Noviembre,Noviembre,Novembre,Novembre,November,November,November
month_december,December,Diciembre,Diciembre,Décembre,Décembre,December,December,December
next,Next,Siguiente,Siguiente,Suivant,Suivant,Next,Next,Next
no,No,No,No,Non,Non,No,No,No
okay,Okay,Listo,Aceptar,OK,OK,Okay,Okay,Okay
popup_first,"You finished this test, ready for the next one?","Ha finalizado este test, ¿listo para el siguiente?","Ha terminado esta prueba, ¿está listo para la siguiente? ","Vous avez terminé ce test, prêt pour le prochain ?","Vous avez fini ce test, êtes-vous prêt pour le suivant ?","You finished this test, are you ready for the next one?","You finished this test, are you ready for the next one?","You finished this test, are you ready for the next one?"
popup_last,You finished this test!,¡Ha finalizado este test!,Ha terminado la prueba.,Vous avez terminé ce test !,Vous avez fini ce test !,You finished this test!,You finished this test!,You finished this test!
price_body,"In this task, we’ll show you some shopping items and prices. 

Please decide if the displayed price is a ""good bargain"" for that item.
 
The pair will only remain on the screen for a short time so please make your decision quickly and pay careful attention.

After you see 10 pairs of shopping items and prices, you will be asked to match the correct price with each item so try to remember the prices.

Press ""Start"" to begin.","En esta tarea, le mostraremos algunos artículos de compra y precios. 

Decida si el precio desplegado es una ""ganga"" por ese producto.
 
El par solo permanecerá en la pantalla por poco tiempo así que tome su decisión rápidamente y preste mucha atención.

Después de que vea 10 pares de artículos de compra y precios, se le pedirá que una el precio correcto con cada artículo, así que intente recordar los precios.

Presione Comenzar para dar inicio.","En esta prueba, le mostraremos algunos artículos para comprar y precios. 

Decida si el precio mostrado es una «ganga» para ese artículo.
 
El par permanecerá poco tiempo en la pantalla, por lo que debe tomar una decisión rápida y prestar mucha atención.

Una vez que haya visto los 10 pares de artículos para comprar y los precios, se le pedirá que empareje el precio correcto con cada artículo y que intente recordar los precios.

Pulse «Comenzar» para empezar.","Dans cette tâche, nous vous montrerons quelques articles d’achat et  des prix.. 

Veuillez décider si le prix affiché est une « bonne affaire » pour cet article.
 
La paire ne restera affichée à l’écran que pour une courte période de temps, alors veuillez prendre votre décision rapidement et être attentif.

Après avoir vu dix paires d’articles et de prix, on vous demandera de faire correspondre le prix correct avec chaque article, alors essayez de vous souvenir des prix.

Appuyez sur Début pour commencer","Lors de ce test, nous allons vous montrer des articles et des prix.

Estimez si le prix affiché est une « bonne affaire » pour cet article.
 
La paire ne restera que peu de temps à l’écran. Vous devez donc prendre une décision rapidement et être très attentif.

Lorsque vous aurez vu 10 paires article/prix, on vous demandera quel prix correspond à chaque article. Vous devez donc essayer de vous souvenir des prix.

Appuyez sur Démarrer pour commencer.","In this task, we’ll show you some shopping items and prices. 

Please decide if the displayed price is a ""good bargain"" for that item.
 
The pair will only remain on the screen for a short time so please make your decision quickly and pay careful attention.

After you see 10 pairs of shopping items and prices, you will be asked to match the correct price with each item so try to remember the prices.

Press Start to begin.","In this task, we’ll show you some shopping items and prices. 

Please decide if the displayed price is a ""good bargain"" for that item.
 
The pair will only remain on the screen for a short time so please make your decision quickly and pay careful attention.

After you see 10 pairs of shopping items and prices, you will be asked to match the correct price with each item so try to remember the prices.

Press Start to begin.","In this task, we’ll show you some shopping items and prices. 

Please decide if the displayed price is a ""good bargain"" for that item.
 
The pair will only remain on the screen for a short time so please make your decision quickly and pay careful attention.

After you see 10 pairs of shopping items and prices, you will be asked to match the correct price with each item so try to remember the prices.

Press Start to begin."
price_popup,"You will now start the test. You will see an item and two prices. 
Please select the price that matches the item you studied.","Ahora comenzará el test. Se observará un artículo y dos precios.
Seleccione el precio que concuerde con el artículo que estudió",Ahora comenzará la prueba. Verá un artículo y dos precios. Seleccione el precio que coincida con el artículo en cuestión.,"Vous allez maintenant commencer le test. Vous allez voir un article et deux prix.
Sélectionnez le prix correspondant à l’article que vous avez étudié.","Vous allez maintenant commencer le test. Un article et deux prix vont s’afficher.
Sélectionnez le prix qui correspond à l’article que vous avez étudié.",You will now start the test. You will see an item and two prices. Please select the price that matches the item you studied.,You will now start the test. You will see an item and two prices. Please select the price that matches the item you studied.,You will now start the test. You will see an item and two prices. Please select the price that matches the item you studied.
price_subheader,Prices Instructions,Instrucciones sobre precios,Instrucciones sobre precios,Instructions pour les prix,Instructions relatives aux prix,Prices Instructions,Prices Instructions,Prices Instructions
price_test_isgood,Is this a good price?,¿Es este un buen precio?,¿Es un buen precio?,Est-ce un bon prix ?,Est-ce un bon prix ?,Is this a good price?,Is this a good price?,Is this a good price?
price_test_wasprice,What was the price of the ,¿Cuál fue el precio de ,¿Cuál era el precio de,Quel était le prix de,Quel était le prix de,What was the price of the,What was the price of the,What was the price of the
ready,Ready,Listo,Listo,Prêt,Prêt,Ready,Ready,Ready
setup_a_checkbox,EXISTING PARTICIPANT,"PARTICIPANTE EXISTENTE
",PARTICIPANTE EXISTENTE,"PARTICIPANT EXISTANT
",PARTICIPANT EXISTANT,EXISTING PARTICIPANT,EXISTING PARTICIPANT,EXISTING PARTICIPANT
setup_a_header,SET UP PARTICIPANT,"CONFIGURAR EL PARTICIPANTE 
",CONFIGURAR PARTICIPANTE,"CONFIGURATION DU PARTICIPANT 
",CONFIGURATION DU PARTICIPANT,SET UP PARTICIPANT,SET UP PARTICIPANT,SET UP PARTICIPANT
setup_a_inputbox1,Enter Participant ID,"Ingresar la identificación del participante
",Introducir ID del participante,"Entrez le numéro d’identification du participant
",Saisir l’identifiant du participant,Enter Participant ID,Enter Participant ID,Enter Participant ID
setup_a_inputbox2,Confirm Participant ID,Confirmar la identificación del participante,Confirmar ID del participante,Confirmez le numéro d’identification du participant,Confirmer l’identifiant du participant,Confirm Participant ID,Confirm Participant ID,Confirm Participant ID
setup_a_inputbox3,Rater ID Number,"Número de identificación del evaluador
",Número de ID del evaluador,"Numéro d’identification de l’évaluateur
",Numéro d’identification de l’évaluateur,Rater ID Number,Rater ID Number,Rater ID Number
setup_b_header,SET UP AVAILABILITY ,"CONFIGURE LA DISPONIBILIDAD 
",CONFIGURAR DISPONIBILIDAD ,CONFIGURER LA DISPONIBILITÉ,CONFIGURER LA DISPONIBILITÉ,SET UP AVAILABILITY ,SET UP AVAILABILITY ,SET UP AVAILABILITY 
setup_b_inputbox1,When do you usually wake up?,¿A qué hora se despierta habitualmente?,¿A qué hora se despierta normalmente?,À quelle heure vous réveillez-vous habituellement ?,À quelle heure vous réveillez-vous d’habitude ?,When do you usually wake up?,When do you usually wake up?,When do you usually wake up?
setup_b_inputbox2,When do you usually go to bed?,¿A qué hora se va a la cama habitualmente?,¿A qué hora se acuesta normalmente?,À quelle heure vous couchez-vous habituellement ?,À quelle heure vous couchez-vous d’habitude ?,When do you usually go to bed?,When do you usually go to bed?,When do you usually go to bed?
setup_b_popup,COPY TIME TO OTHER DAYS,COPIE EL HORARIO EN LOS OTROS DÍAS,COPIAR LA HORA EN LOS DEMÁS DÍAS,COPIER L’HEURE POUR LES AUTRES JOURS,APPLIQUER LES HEURES AUX AUTRES JOURS,COPY TIME TO OTHER DAYS,COPY TIME TO OTHER DAYS,COPY TIME TO OTHER DAYS
setup_b_popup_header,Copy %@'s schedule to:,Copie el cronograma del %@ al:,Copiar el calendario del %@ al:,Appliquer le planning du %@ au :,Appliquer le planning du %@ au :,Copy %@'s schedule to:,Copy %@'s schedule to:,Copy %@'s schedule to:
setup_b_popup_header_mo,Copy Monday's schedule to:,Copiar el calendario del Lunes al:,Copiar el calendario del Lunes al:, Appliquer le planning du Lundi au :,Appliquer le planning du Lundi au :,Copy Monday's schedule to:,Copy Monday's schedule to:,Copy Monday's schedule to:
setup_b_popup_header_tu,Copy Tuesday's schedule to:,Copiar el calendario del Martes al:,Copiar el calendario del Martes al:,Appliquer le planning du Mardi au :,Appliquer le planning du Mardi au :,Copy Tuesday's schedule to:,Copy Tuesday's schedule to:,Copy Tuesday's schedule to:
setup_b_popup_header_we,Copy Wednesday's schedule to:,Copiar el calendario del Miércoles al:,Copiar el calendario del Miércoles al:,Appliquer le planning du Mercredi au :,Appliquer le planning du Mercredi au :,Copy Wednesday's schedule to:,Copy Wednesday's schedule to:,Copy Wednesday's schedule to:
setup_b_popup_header_th,Copy Thursday's schedule to:,Copiar el calendario del Jueves al:,Copiar el calendario del Jueves al:,Appliquer le planning du Jeudi au :,Appliquer le planning du Jeudi au :,Copy Thursday's schedule to:,Copy Thursday's schedule to:,Copy Thursday's schedule to:
setup_b_popup_header_fr,Copy Friday's schedule to:,Copiar el calendario del Viernes al:,Copiar el calendario del Viernes al:,Appliquer le planning du Vendredi au :,Appliquer le planning du Vendredi au :,Copy Friday's schedule to:,Copy Friday's schedule to:,Copy Friday's schedule to:
setup_b_popup_header_sa,Copy Saturday's schedule to:,Copiar el calendario del Sábado al:,Copiar el calendario del Sábado al:,Appliquer le planning du Samedi au :,Appliquer le planning du Samedi au :,Copy Saturday's schedule to:,Copy Saturday's schedule to:,Copy Saturday's schedule to:
setup_b_popup_header_su,Copy Sunday's schedule to:,Copiar el calendario del Domingo al:,Copiar el calendario del Domingo al:,Appliquer le planning du Dimanche au :,Appliquer le planning du Dimanche au :,Copy Sunday's schedule to:,Copy Sunday's schedule to:,Copy Sunday's schedule to:
